experiment_name,temperature,top_k,prompt_style,prompt_label,question_id,question,accuracy,clarity,groundedness,notes
exp01,0.2,3,strict,A,q01,What happens if coursework is submitted within 24 hours after the deadline?,,,,
exp01,0.2,3,strict,A,q02,What is the penalty if coursework is submitted more than 24 hours late without an extension?,,,,
exp01,0.2,3,strict,A,q03,How do Progression and Award Boards relate to module results and awards?,,,,
exp01,0.2,3,strict,A,q04,What English language qualifications does the University accept for admission?,,,,
exp01,0.2,3,strict,A,q05,What is Recognition of Prior Certificated Learning (RPCL)?,,,,
exp01,0.2,3,strict,A,q06,How is Recognition of Prior Experiential Learning (RPEL) defined?,,,,
exp01,0.2,3,strict,A,q07,What are the principles of assessment in relation to intended learning outcomes?,,,,
exp01,0.2,3,strict,A,q08,What happens if a student arrives late to an examination?,,,,
exp01,0.2,3,strict,A,q09,When can a student leave the examination room during an exam?,,,,
exp01,0.2,3,strict,A,q10,What is the process for mitigating circumstances and academic appeals after a board decision?,,,,
exp01,0.2,3,strict,A,q11,What is the role of external examiners in progression and award?,,,,
exp01,0.2,3,strict,A,q12,How does the University treat plagiarism and academic misconduct penalties?,,,,
exp01,0.2,3,strict,A,q13,Can students get an extension for coursework deadlines?,,,,
exp01,0.2,3,strict,A,q14,What rules apply to deferring an assessment?,,,,
exp01,0.2,3,strict,A,q15,What reasonable adjustments can disabled students receive for assessments?,,,,
exp01,0.2,3,strict,A,q16,How are provisional results and late submission penalties applied before boards?,,,,
exp01,0.2,3,strict,A,q17,What is the relationship between the Student Charter and academic regulations?,,,,
exp01,0.2,3,strict,A,q18,What attendance or participation rules apply to taught modules?,,,,
exp02,0.2,5,strict,A,q01,What happens if coursework is submitted within 24 hours after the deadline?,,,,
exp02,0.2,5,strict,A,q02,What is the penalty if coursework is submitted more than 24 hours late without an extension?,,,,
exp02,0.2,5,strict,A,q03,How do Progression and Award Boards relate to module results and awards?,,,,
exp02,0.2,5,strict,A,q04,What English language qualifications does the University accept for admission?,,,,
exp02,0.2,5,strict,A,q05,What is Recognition of Prior Certificated Learning (RPCL)?,,,,
exp02,0.2,5,strict,A,q06,How is Recognition of Prior Experiential Learning (RPEL) defined?,,,,
exp02,0.2,5,strict,A,q07,What are the principles of assessment in relation to intended learning outcomes?,,,,
exp02,0.2,5,strict,A,q08,What happens if a student arrives late to an examination?,,,,
exp02,0.2,5,strict,A,q09,When can a student leave the examination room during an exam?,,,,
exp02,0.2,5,strict,A,q10,What is the process for mitigating circumstances and academic appeals after a board decision?,,,,
exp02,0.2,5,strict,A,q11,What is the role of external examiners in progression and award?,,,,
exp02,0.2,5,strict,A,q12,How does the University treat plagiarism and academic misconduct penalties?,,,,
exp02,0.2,5,strict,A,q13,Can students get an extension for coursework deadlines?,,,,
exp02,0.2,5,strict,A,q14,What rules apply to deferring an assessment?,,,,
exp02,0.2,5,strict,A,q15,What reasonable adjustments can disabled students receive for assessments?,,,,
exp02,0.2,5,strict,A,q16,How are provisional results and late submission penalties applied before boards?,,,,
exp02,0.2,5,strict,A,q17,What is the relationship between the Student Charter and academic regulations?,,,,
exp02,0.2,5,strict,A,q18,What attendance or participation rules apply to taught modules?,,,,
exp03,0.5,5,strict,A,q01,What happens if coursework is submitted within 24 hours after the deadline?,,,,
exp03,0.5,5,strict,A,q02,What is the penalty if coursework is submitted more than 24 hours late without an extension?,,,,
exp03,0.5,5,strict,A,q03,How do Progression and Award Boards relate to module results and awards?,,,,
exp03,0.5,5,strict,A,q04,What English language qualifications does the University accept for admission?,,,,
exp03,0.5,5,strict,A,q05,What is Recognition of Prior Certificated Learning (RPCL)?,,,,
exp03,0.5,5,strict,A,q06,How is Recognition of Prior Experiential Learning (RPEL) defined?,,,,
exp03,0.5,5,strict,A,q07,What are the principles of assessment in relation to intended learning outcomes?,,,,
exp03,0.5,5,strict,A,q08,What happens if a student arrives late to an examination?,,,,
exp03,0.5,5,strict,A,q09,When can a student leave the examination room during an exam?,,,,
exp03,0.5,5,strict,A,q10,What is the process for mitigating circumstances and academic appeals after a board decision?,,,,
exp03,0.5,5,strict,A,q11,What is the role of external examiners in progression and award?,,,,
exp03,0.5,5,strict,A,q12,How does the University treat plagiarism and academic misconduct penalties?,,,,
exp03,0.5,5,strict,A,q13,Can students get an extension for coursework deadlines?,,,,
exp03,0.5,5,strict,A,q14,What rules apply to deferring an assessment?,,,,
exp03,0.5,5,strict,A,q15,What reasonable adjustments can disabled students receive for assessments?,,,,
exp03,0.5,5,strict,A,q16,How are provisional results and late submission penalties applied before boards?,,,,
exp03,0.5,5,strict,A,q17,What is the relationship between the Student Charter and academic regulations?,,,,
exp03,0.5,5,strict,A,q18,What attendance or participation rules apply to taught modules?,,,,
exp04,0.8,5,strict,A,q01,What happens if coursework is submitted within 24 hours after the deadline?,,,,
exp04,0.8,5,strict,A,q02,What is the penalty if coursework is submitted more than 24 hours late without an extension?,,,,
exp04,0.8,5,strict,A,q03,How do Progression and Award Boards relate to module results and awards?,,,,
exp04,0.8,5,strict,A,q04,What English language qualifications does the University accept for admission?,,,,
exp04,0.8,5,strict,A,q05,What is Recognition of Prior Certificated Learning (RPCL)?,,,,
exp04,0.8,5,strict,A,q06,How is Recognition of Prior Experiential Learning (RPEL) defined?,,,,
exp04,0.8,5,strict,A,q07,What are the principles of assessment in relation to intended learning outcomes?,,,,
exp04,0.8,5,strict,A,q08,What happens if a student arrives late to an examination?,,,,
exp04,0.8,5,strict,A,q09,When can a student leave the examination room during an exam?,,,,
exp04,0.8,5,strict,A,q10,What is the process for mitigating circumstances and academic appeals after a board decision?,,,,
exp04,0.8,5,strict,A,q11,What is the role of external examiners in progression and award?,,,,
exp04,0.8,5,strict,A,q12,How does the University treat plagiarism and academic misconduct penalties?,,,,
exp04,0.8,5,strict,A,q13,Can students get an extension for coursework deadlines?,,,,
exp04,0.8,5,strict,A,q14,What rules apply to deferring an assessment?,,,,
exp04,0.8,5,strict,A,q15,What reasonable adjustments can disabled students receive for assessments?,,,,
exp04,0.8,5,strict,A,q16,How are provisional results and late submission penalties applied before boards?,,,,
exp04,0.8,5,strict,A,q17,What is the relationship between the Student Charter and academic regulations?,,,,
exp04,0.8,5,strict,A,q18,What attendance or participation rules apply to taught modules?,,,,
exp05,0.5,3,semi_flexible,B,q01,What happens if coursework is submitted within 24 hours after the deadline?,,,,
exp05,0.5,3,semi_flexible,B,q02,What is the penalty if coursework is submitted more than 24 hours late without an extension?,,,,
exp05,0.5,3,semi_flexible,B,q03,How do Progression and Award Boards relate to module results and awards?,,,,
exp05,0.5,3,semi_flexible,B,q04,What English language qualifications does the University accept for admission?,,,,
exp05,0.5,3,semi_flexible,B,q05,What is Recognition of Prior Certificated Learning (RPCL)?,,,,
exp05,0.5,3,semi_flexible,B,q06,How is Recognition of Prior Experiential Learning (RPEL) defined?,,,,
exp05,0.5,3,semi_flexible,B,q07,What are the principles of assessment in relation to intended learning outcomes?,,,,
exp05,0.5,3,semi_flexible,B,q08,What happens if a student arrives late to an examination?,,,,
exp05,0.5,3,semi_flexible,B,q09,When can a student leave the examination room during an exam?,,,,
exp05,0.5,3,semi_flexible,B,q10,What is the process for mitigating circumstances and academic appeals after a board decision?,,,,
exp05,0.5,3,semi_flexible,B,q11,What is the role of external examiners in progression and award?,,,,
exp05,0.5,3,semi_flexible,B,q12,How does the University treat plagiarism and academic misconduct penalties?,,,,
exp05,0.5,3,semi_flexible,B,q13,Can students get an extension for coursework deadlines?,,,,
exp05,0.5,3,semi_flexible,B,q14,What rules apply to deferring an assessment?,,,,
exp05,0.5,3,semi_flexible,B,q15,What reasonable adjustments can disabled students receive for assessments?,,,,
exp05,0.5,3,semi_flexible,B,q16,How are provisional results and late submission penalties applied before boards?,,,,
exp05,0.5,3,semi_flexible,B,q17,What is the relationship between the Student Charter and academic regulations?,,,,
exp05,0.5,3,semi_flexible,B,q18,What attendance or participation rules apply to taught modules?,,,,
exp06,0.5,7,loose,C,q01,What happens if coursework is submitted within 24 hours after the deadline?,,,,
exp06,0.5,7,loose,C,q02,What is the penalty if coursework is submitted more than 24 hours late without an extension?,,,,
exp06,0.5,7,loose,C,q03,How do Progression and Award Boards relate to module results and awards?,,,,
exp06,0.5,7,loose,C,q04,What English language qualifications does the University accept for admission?,,,,
exp06,0.5,7,loose,C,q05,What is Recognition of Prior Certificated Learning (RPCL)?,,,,
exp06,0.5,7,loose,C,q06,How is Recognition of Prior Experiential Learning (RPEL) defined?,,,,
exp06,0.5,7,loose,C,q07,What are the principles of assessment in relation to intended learning outcomes?,,,,
exp06,0.5,7,loose,C,q08,What happens if a student arrives late to an examination?,,,,
exp06,0.5,7,loose,C,q09,When can a student leave the examination room during an exam?,,,,
exp06,0.5,7,loose,C,q10,What is the process for mitigating circumstances and academic appeals after a board decision?,,,,
exp06,0.5,7,loose,C,q11,What is the role of external examiners in progression and award?,,,,
exp06,0.5,7,loose,C,q12,How does the University treat plagiarism and academic misconduct penalties?,,,,
exp06,0.5,7,loose,C,q13,Can students get an extension for coursework deadlines?,,,,
exp06,0.5,7,loose,C,q14,What rules apply to deferring an assessment?,,,,
exp06,0.5,7,loose,C,q15,What reasonable adjustments can disabled students receive for assessments?,,,,
exp06,0.5,7,loose,C,q16,How are provisional results and late submission penalties applied before boards?,,,,
exp06,0.5,7,loose,C,q17,What is the relationship between the Student Charter and academic regulations?,,,,
exp06,0.5,7,loose,C,q18,What attendance or participation rules apply to taught modules?,,,,
